unique_work_number,work_name,sanction_amount,cost_deviation_pct,contractor_concentration,text_similarity,rf_anomaly_probability,rf_anomaly_prediction
WS/97706/2023/00915,"LED streetlight installation along Ram Nagar road, BARAMULLAH",1133939.13,286.87530145225566,0.2857142857142857,0.9526117300165586,81.90671894819208,1
WS/20322/2024/00908,"Solar light installation near Panchayat Bhavan Marg hanuman mandir, AURANGABAD_MH",1470341.76,309.7857959451226,0.2222222222222222,0.9972956045408594,80.28230044641701,1
WS/58467/2024/00972,"Solar street light at Subhash Nagar chowk parisar, BARAMULLAH",343881.79,22.44313516600666,0.08333333333333333,1.0,79.97397626250357,1
WS/24444/2023/00970,"Solar street light at Subhash Nagar chowk parisar, BARAMULLAH",302034.8,0.3246823561705729,0.05,1.0,79.94160510983957,1
WS/72530/2024/00439,"Multipurpose community centre building at Nehru Path panchayat, AURANGABAD_MH",2216905.62,0.0,0.4,1.0,79.37521790189804,1
WS/15695/2025/00004,"Repair and renovation of Govt. School building at Kisan Nagar, AURANGABAD_BR",535402.93,-34.41712343122244,0.1111111111111111,1.0,79.06350569417474,1
WS/64379/2025/00100,"Multipurpose community centre building at Panchayat Bhavan Marg panchayat, SRINAGAR",3176215.55,1.8885713871304464,0.1,1.0,78.69733466315198,1
WS/69372/2025/00528,"LED streetlight installation along Station Road road, NANDURBAR(ST)",556465.2,28.38269914523727,0.3333333333333333,1.0,78.41761684279084,1
WS/70106/2024/00576,"Water supply pipeline extension to Subhash Nagar area, AURANGABAD_BR",598066.08,1.4391041074074513,0.1111111111111111,1.0,78.27968604972013,1
WS/90698/2025/00182,"Construction of community hall at Kisan Nagar, BARAMULLAH",3832559.83,8.948780670251763,0.16666666666666666,1.0,78.07187905097415,1
WS/86735/2023/00493,"Solar light installation near Kisan Nagar hanuman mandir, IDUKKI",326135.53,0.5397759659229213,0.2857142857142857,1.0,77.8888157042775,1
WS/69245/2024/00106,"Repair and renovation of Govt. School building at Station Road, BADAUN",1027585.3,-19.911110036593175,0.125,1.0,77.65645413824822,1
WS/11424/2025/00901,"Water supply pipeline extension to Subhash Nagar area, AURANGABAD_BR",589581.39,0.0,0.1111111111111111,1.0,77.63526318720184,1
WS/74923/2024/00084,"Water supply pipeline extension to Andouli area, PUNE",839401.12,8.390017961547528,0.2857142857142857,1.0,77.5891902264387,1
WS/36680/2024/00078,"Construction of community hall at Nehru Path, NANDURBAR(ST)",3056584.68,8.09679980076507,0.16666666666666666,1.0,77.49503274358892,1
WS/41051/2025/00202,"Construction of community hall at Nehru Path, NANDURBAR(ST)",2085403.79,-26.24922925695397,0.3333333333333333,1.0,77.41969098512182,1
WS/56095/2025/00294,"Installation of streetlights at Bazaar Road chowk, BARAMULLAH",293101.97,0.0,0.14285714285714285,1.0,77.06929754789836,1
WS/68743/2023/00061,"Construction of additional classroom at Andouli school, NANDURBAR(ST)",1177246.7,-0.24348284758035924,0.1111111111111111,1.0,77.00900049726634,1
WS/98501/2023/00024,"Installation of streetlights at Gandhi Chowk chowk, LUCKNOW",186050.16,-0.4507242745336025,0.2857142857142857,1.0,76.95805432820715,1
WS/96870/2025/00102,"Repair and renovation of Govt. School building at Gandhi Chowk, VARANASI",786234.02,-29.343511992602068,0.25,1.0,76.94219543142239,1
WS/21593/2024/00602,"Construction of additional classroom at Andouli school, BARAMULLAH",1783735.4,30.000824651083857,0.2,1.0,76.78518490012668,1
WS/15144/2023/00491,"Repair and renovation of Govt. School building at Station Road, BADAUN",1557814.14,21.414353866194094,0.25,1.0,76.74860385119462,1
WS/65058/2023/00739,"Multipurpose community centre building at Station Road panchayat, ERNAKULAM",2793142.28,20.237831574633947,0.25,1.0,76.74860385119462,1
WS/72518/2024/00048,"Construction of additional classroom at Andouli school, NANDURBAR(ST)",1666773.87,41.23764895825139,0.05555555555555555,1.0,76.54184004498923,1
WS/19849/2025/00967,Construction of concrete road from Nehru Path to Nehru Path in GAYA,652993.99,-47.85336730237245,0.1111111111111111,1.0,76.38859997871845,1
WS/39329/2025/00324,"Construction of additional classroom at Nehru Path school, TAMLUK",1676121.61,63.02521507797575,0.14285714285714285,1.0,76.36375864905864,1
WS/35891/2025/00797,"Installation of streetlights at Gandhi Chowk chowk, LUCKNOW",185174.03,-0.9195124064081106,0.14285714285714285,1.0,76.0887838458171,1
WS/85228/2024/00958,"Covered drain construction from Station Road to Station Road, NAGPUR",392628.17,-16.910430431709923,0.4,1.0,75.94293619005458,1
WS/23114/2024/00635,"Repair and renovation of Govt. School building at Kisan Nagar, BADAUN",1198494.96,-6.590595473545939,0.125,1.0,75.74284188702917,1
WS/79501/2024/00545,"Solar light installation near Panchayat Bhavan Marg hanuman mandir, AURANGABAD_BR",252157.02,-15.441393529962804,0.08333333333333333,1.0,75.63275509800556,1
WS/57973/2024/00873,"Construction of drainage/nala near Ambedkar Colony area, LUCKNOW",472536.05,0.0,0.2,1.0,75.62960648085735,1
WS/63950/2025/00807,"Installation of streetlights at Kisan Nagar chowk, KANTHI",585457.54,13.257373297133872,0.5,1.0,75.55349401503548,1
WS/27324/2023/00885,"Construction of additional classroom at Gandhi Chowk school, ATTINGAL",937586.77,-4.061010649859011,0.14285714285714285,1.0,75.43888208922772,1
